"ID","Campaign","Year","CAMPAIGN","LOCATION","BYEAR","EYEAR","TARGET","SUCCESS","LIMITED","FAILURE","ONGOING","VIOL","NONVIOL","FSELFDET","REGCHANGE","SECESSION","OTHER","match_key","protest_clean","Num_Image","Num_Banner","Eng_Banner","eng_prop_year","Protest","match_dist","cow","iso3","colonized_english","colonized","navco21_id","match_quality","camp_name","location","progress","repression","camp_size","prim_meth","camp_beyear","end_year","status","camp_goals","goalschange","territory","country_name","cow.vdem","v2svdomaut","v2svstterr","v2csreprss","v2x_civlib","v2xcl_dmove","v2x_clpol","p_polity2","wdi_gdpcapcon2015","wdi_pop","wdi_fdiin","wdi_import","wdi_export","fi_ftradeint_pd","aid_crsc","aid_crsio","aid_crnio","ht_colonial","panel_campaign_key","panel_campaign_id","any_progress","concession","full_success","failure_yr","progress_ord","nonviolent","repression_yr","lnpop_yr","lngdp_yr","lnaid_yr","duration","time_in_campaign","goals","viol"
282,"2011 Syria Syrian Civil War protest banner",2011,"Syrian Civil War + Syrian Uprising","Syria",2011,2019,"Assad regime",0,0,1,1,1,0,0,1,0,0,"Syria Syrian Civil War","Syria Syrian Civil War",538.5,1150,144,0.125217391304348,"2011 Syria Syrian Civil War protest",0,652,"SYR","0",1,282,"close","Syrian Civil Conflict","Syria",0,3,3,1,0,2013,1,0,0,"","Syria",652,0.548,83.136,-2.04,0.109,0.256,0.058,-7,1552.86597632774,22730733,1.19065657354592,31.3267665215573,19.369327824098,5.06738615827321,235794624,49455772,6,6,"NAVCO2.1 ID 282",282,0,0,0,0,"0",1,3,16.939228443439,7.34785751957129,19.4688779384671,9,1,"0","1"
282,"2012 Syria Syrian Civil War protest banner",2012,"Syrian Civil War","Syria",2011,2019,"Assad regime",0,0,1,1,1,0,0,1,0,0,"Syria Syrian Civil War","Syria Syrian Civil War",744,1182,145,0.122673434856176,"2012 Syria Syrian Civil War protest",0,652,"SYR","0",1,282,"close","Syrian Civil Conflict","Syria",0,3,-99,0,0,2013,1,0,0,"","Syria",652,0.16,57.318,-2.417,0.092,0.211,0.055,-9,1150.18931355227,22605577,NA,27.6540725102336,7.71461782136059,3.27896960784726,540209920,263115296,7,6,"NAVCO2.1 ID 282",282,0,0,0,0,"0",0,3,16.9337072037113,7.04768182828907,20.5042701924103,9,2,"0","1"
282,"2013 Syria Syrian Civil War protest banner",2013,"Syrian Civil War","Syria",2011,2019,"Assad regime",0,0,1,1,1,0,0,1,0,0,"Syria Syrian Civil War","Syria Syrian Civil War",761,1371,186,0.135667396061269,"2013 Syria Syrian Civil War protest",0,652,"SYR","0",1,282,"close","Syrian Civil Conflict","Syria",0,3,3,0,0,2013,1,0,0,"","Syria",652,-0.897,45.7,-2.935,0.064,0.111,0.038,-9,891.451785733885,21495821,NA,36.9272368111259,7.7780179722273,3.56715656840793,1727367680,603934528,10,6,"NAVCO2.1 ID 282",282,0,0,0,0,"0",0,3,16.8833691021122,6.79285135365773,21.5696928363871,9,3,"0","1"
290,"2013 Bulgaria Dance with me Campaign protest banner",2013,"Dance with me Campaign","Bulgaria",2013,2014,"Gov't of PM Oresharski",1,0,0,0,0,1,0,1,0,0,"Bulgaria Dance with me Campaign","Bulgaria Dance with me Campaign",26,64,10,0.15625,"2013 Bulgaria Dance with me Campaign protest",0,355,"BGR","0",0,290,"exact","Dance With Me Campaign","Bulgaria",3,2,2,1,1,2013,1,0,0,"","Bulgaria",355,1.888,99.909,1.319,0.861,0.849,0.814,9,6693.45015260161,7265115,3.56394027272256,65.1509633420078,64.5816957844561,8.10585361827885,NA,NA,NA,0,"NAVCO2.1 ID 290",290,1,1,0,0,"3",1,2,15.7985946841799,8.80888473806318,NA,2,1,"0","0"
293,"2010 Ivory Coast Pro-Ouattara Campaign protest banner",2010,"Pro-Ouattara Campaign","Ivory Coast",2010,2011,"Gbagbo Regime",1,0,0,0,0,1,0,1,0,0,"Ivory Coast Pro-Ouattara Campaign","Ivory Coast Pro-Ouattara Campaign",97,136,15,0.110294117647059,"2010 Ivory Coast Pro-Ouattara Campaign protest",0,437,"CIV","0",1,293,"exact","Pro-Ouattara Campaign","Cote d'Ivoire",2,3,2,1,0,2011,0,0,0,"","Ivory Coast",437,0.756,71.25,1.666,0.715,0.721,0.798,0,1640.31502884403,21120042,1.02606247081629,33.9733654904249,33.4995745908321,5.9151077641676,502677888,344175616,13,6,"NAVCO2.1 ID 293",293,1,1,0,0,"2",1,3,16.8657330054367,7.40264359312973,20.5570382801604,2,1,"0","0"
293,"2011 Ivory Coast Pro-Ouattara Campaign protest banner",2011,"Pro-Ouattara Campaign","Ivory Coast",2010,2011,"Gbagbo Regime",1,0,0,0,0,1,0,1,0,0,"Ivory Coast Pro-Ouattara Campaign","Ivory Coast Pro-Ouattara Campaign",54,105,15,0.142857142857143,"2011 Ivory Coast Pro-Ouattara Campaign protest",0,437,"CIV","0",1,293,"exact","Pro-Ouattara Campaign","Cote d'Ivoire",4,3,2,1,0,2011,0,0,0,"","Ivory Coast",437,1.215,79.917,1.462,0.704,0.741,0.749,4,1520.34229764192,21562914,0.822954231858426,29.4345267100222,35.2813763529836,5.91882882253822,769180416,782902528,13,6,"NAVCO2.1 ID 293",293,1,1,1,0,"4",1,3,16.8864854525715,7.3266907843046,21.1628637012227,2,2,"0","0"
294,"2012 Democratic Republic of Congo M23 protest banner",2012,"M23","Democratic Republic of Congo",2012,2013,"Congo government",0,0,1,0,1,0,0,1,0,0,"Democratic Republic of Congo M23","Democratic Republic of Congo M23",278,339,27,0.079646017699115,"2012 Democratic Republic of Congo M23 protest",0,490,"COD","0",1,294,"close","Kivu Rebels (M23, APCLS, PARC-FAAL)","Democratic Republic of Congo",1,3,1,0,0,2013,1,0,0,"","Democratic Republic of the Congo",490,0.973,77.25,-0.749,0.441,0.465,0.565,5,420.629347803912,70997870,9.86686869724735,37.548702379881,30.8030090180745,5.69436534834078,1661637120,1174795008,16,8,"NAVCO2.1 ID 294",294,1,0,0,0,"1",0,3,18.0781604345556,6.0417520368779,21.7658128067168,2,1,"0","1"
294,"2013 Democratic Republic of Congo M23 protest banner",2013,"M23","Democratic Republic of Congo",2012,2013,"Congo government",0,0,1,0,1,0,0,1,0,0,"Democratic Republic of Congo M23","Democratic Republic of Congo M23",256,288,16,0.0555555555555556,"2013 Democratic Republic of Congo M23 protest",0,490,"COD","0",1,294,"close","Kivu Rebels (M23, APCLS, PARC-FAAL)","Democratic Republic of Congo",1,3,1,0,0,2013,1,0,0,"","Democratic Republic of the Congo",490,0.973,73.182,-0.547,0.437,0.51,0.568,5,441.012959698415,73460021,5.19461157161643,41.0200838366321,36.4458613092305,5.69436534834078,1132195328,1033673408,15,8,"NAVCO2.1 ID 294",294,1,0,0,0,"1",0,3,18.1122518842256,6.08907426208629,21.4960873821191,2,2,"0","1"
295,"2013 Egypt Pro-Morsi Protests banner",2013,"Pro-Morsi Protests","Egypt",2013,2014,"President Morsi",0,0,1,0,0,1,0,1,0,0,"Egypt Pro-Morsi Protests","Egypt Pro-Morsi Protests",780,1371,123,0.0897155361050328,"2013 Egypt Pro-Morsi Protests",0,651,"EGY","1",1,295,"exact","Pro-Morsi Protests","Egypt",0,3,2,1,1,2013,1,0,0,"","Egypt",651,1.158,84.727,-1.182,0.217,0.429,0.226,-4,3283.74071993724,93377890,1.45343420769727,23.3551924317351,17.0178456245969,5.98558994941592,6917741568,1746383360,15,5,"NAVCO2.1 ID 295",295,0,0,0,0,"0",1,3,18.3521651514068,8.09673851493934,22.8824567658625,2,1,"0","0"
300,"2010 Kyrgyzstan Anti-Interim Government protest banner",2010,"Anti-Interim Government","Kyrgyzstan",2010,2010,"Interim government",0,0,1,0,0,1,0,1,0,0,"Kyrgyzstan Anti-Interim Government","Kyrgyzstan Anti-Interim Government",73,120,7,0.0583333333333333,"2010 Kyrgyzstan Anti-Interim Government protest",0,703,"KGZ","0",0,300,"close","Kyrgyz Anti-Interim Goverment","Kyrgyzstan",5,3,1,1,1,2010,0,0,0,"","Kyrgyzstan",703,0.98,90,0.81,0.626,0.633,0.716,4,966.150729977601,5447900,9.860930706632,81.6785278167149,51.5543226756177,6.75021616607895,214706224,429607904,14,0,"NAVCO2.1 ID 300",300,0,0,0,1,"5",1,3,15.5107407712833,6.8733198572138,20.2836969430939,1,1,"0","0"
303,"2012 Maldives Nasheed Supporters protest banner",2012,"Nasheed Supporters","Maldives",2012,2013,"President Mohammed Waheed Hassan Government",0,0,1,0,0,1,0,1,0,0,"Maldives Nasheed Supporters","Maldives Nasheed Supporters",533,804,86,0.106965174129353,"2012 Maldives Nasheed Supporters protest",0,781,"MDV","1",1,303,"exact","Nasheed Supporters","Maldives",0,3,1,1,0,2013,0,0,0,"","Maldives",781,1.849,98,0.854,0.621,0.608,0.693,NA,8951.02433115532,387539,7.89893947899641,NA,NA,NA,18361484,30527972,8,5,"NAVCO2.1 ID 303",303,0,0,0,0,"0",1,3,12.8675717678724,9.09952325512837,17.7050723279274,2,1,"0","0"
303,"2013 Maldives Nasheed Supporters protest banner",2013,"Nasheed Supporters","Maldives",2012,2013,"President Mohammed Waheed Hassan Government",0,0,1,0,0,1,0,1,0,0,"Maldives Nasheed Supporters","Maldives Nasheed Supporters",79,132,22,0.166666666666667,"2013 Maldives Nasheed Supporters protest",0,781,"MDV","1",1,303,"exact","Nasheed Supporters","Maldives",5,2,1,1,0,2013,0,0,0,"","Maldives",781,1.849,97.7,0.067,0.538,0.62,0.58,NA,9286.70340816714,400728,10.9503820899918,NA,NA,NA,11253825,73971576,10,5,"NAVCO2.1 ID 303",303,0,0,0,1,"5",1,2,12.9010381718969,9.13633891502905,18.2608100929029,2,2,"0","0"
308,"2013 Thailand Civil Movement for Democracy protest banner",2013,"Civil Movement for Democracy","Thailand",2013,2014,"Yingluck government",1,0,0,0,0,1,0,1,0,0,"Thailand Civil Movement for Democracy","Thailand Civil Movement for Democracy",135,303,37,0.122112211221122,"2013 Thailand Civil Movement for Democracy protest",0,800,"THA","0",0,308,"exact","Civil Movement for Democracy","Thailand",0,3,2,1,1,2013,1,0,0,"","Thailand",800,1.674,95.857,0.45,0.591,0.903,0.58,7,5537.74507089062,69578602,3.79126858058468,65.2911331011204,67.1711410731483,6.34220310772658,259915984,123282928,11,0,"NAVCO2.1 ID 308",308,0,0,0,0,"0",1,3,18.0579676355058,8.61934266996834,19.7640647674181,2,1,"0","0"
309,"2012 Togo Let's Save Togo (Anti-Gnassingbe) protest banner",2012,"Let's Save Togo (Anti-Gnassingbe)","Togo",2012,2013,"President Faure Gnassingbe Regime",0,0,1,0,0,1,0,1,0,0,"Togo Let's Save Togo (Anti-Gnassingbe)","Togo Let's Save Togo (Anti-Gnassingbe)",40,58,5,0.0862068965517241,"2012 Togo Let's Save Togo (Anti-Gnassingbe) protest",0,461,"TGO","0",1,309,"exact","Let's Save Togo (Anti-Gnassingbe)","Togo",0,3,3,1,0,2013,0,0,0,"","Togo",461,0.787,87.364,1.458,0.679,0.855,0.792,-2,507.863015197488,6926635,3.13715184442928,59.2054682024453,45.2053609986539,5.71060843763785,133670584,215082976,14,6,"NAVCO2.1 ID 309",309,0,0,0,0,"0",1,3,15.7508846832532,6.23021175609195,19.6698761018004,2,1,"0","0"
309,"2013 Togo Let's Save Togo (Anti-Gnassingbe) protest banner",2013,"Let's Save Togo (Anti-Gnassingbe)","Togo",2012,2013,"President Faure Gnassingbe Regime",0,0,1,0,0,1,0,1,0,0,"Togo Let's Save Togo (Anti-Gnassingbe)","Togo Let's Save Togo (Anti-Gnassingbe)",24,40,5,0.125,"2013 Togo Let's Save Togo (Anti-Gnassingbe) protest",0,461,"TGO","0",1,309,"exact","Let's Save Togo (Anti-Gnassingbe)","Togo",5,3,-99,1,0,2013,0,0,0,"","Togo",461,0.787,83.636,1.329,0.675,0.877,0.786,-2,525.285721116094,7106229,4.24835441688157,66.2849783364817,46.4760239573026,5.70445469200471,95417792,202786144,15,6,"NAVCO2.1 ID 309",309,0,0,0,1,"5",1,3,15.7764822813315,6.26394234524913,19.5132881627564,2,2,"0","0"
311,"2010 Tunisia Anti-Ben Ali Campaign (Jasmin Revolution) protest banner",2010,"Anti-Ben Ali Campaign (Jasmin Revolution)","Tunisia",2010,2011,"Government (Ben Ali Regime)",1,0,0,0,0,1,0,1,0,0,"Tunisia Anti-Ben Ali Campaign (Jasmin Revolution)","Tunisia Anti-Ben Ali Campaign (Jasmin Revolution)",184,443,43,0.0970654627539503,"2010 Tunisia Anti-Ben Ali Campaign (Jasmin Revolution) protest",0,616,"TUN","0",1,311,"exact","Anti-Ben Ali Campaign (Jasmine Revolution)","Tunisia",0,3,1,1,0,2011,0,0,0,"","Tunisia",616,1.455,91.571,-1.462,0.309,0.63,0.221,-4,3860.67994491045,10895063,2.88814231758981,52.1912811425565,47.9597286942428,5.99504948505781,621010368,1026952832,11,6,"NAVCO2.1 ID 311",311,0,0,0,0,"0",1,3,16.2038203088132,8.25859859847722,21.2228059386941,2,1,"0","0"
311,"2011 Tunisia Anti-Ben Ali Campaign (Jasmin Revolution) protest banner",2011,"Anti-Ben Ali Campaign (Jasmin Revolution)","Tunisia",2010,2011,"Government (Ben Ali Regime)",1,0,0,0,0,1,0,1,0,0,"Tunisia Anti-Ben Ali Campaign (Jasmin Revolution)","Tunisia Anti-Ben Ali Campaign (Jasmin Revolution)",170,428,54,0.126168224299065,"2011 Tunisia Anti-Ben Ali Campaign (Jasmin Revolution) protest",0,616,"TUN","0",1,311,"exact","Anti-Ben Ali Campaign (Jasmine Revolution)","Tunisia",4,3,3,1,0,2011,0,0,0,"","Tunisia",616,1.407,88.643,1.627,0.778,0.897,0.851,4,3734.54650514638,11032528,0.89908839199287,54.0517255325681,46.0546537716688,5.91117256803133,723388160,1284363648,8,6,"NAVCO2.1 ID 311",311,1,1,1,0,"4",1,3,16.2163585580787,8.22538167256371,21.420281430041,2,2,"0","0"
312,"2013 Tunisia Anti-Islamist Government Protests banner",2013,"Anti-Islamist Government Protests + Protests Against the Crisis Talks","Tunisia",2013,2014,"Ennahda Party",1,0,0,0,0,1,0,1,0,0,"Tunisia Anti-Islamist Government Protests","Tunisia Anti-Islamist Government Protests",116,296.5,29,0.0978077571669477,"2013 Tunisia Anti-Islamist Government Protests",0,616,"TUN","0",1,312,"exact","Anti-Islamist Government Protests","Tunisia",1,3,2,1,1,2013,1,0,0,"","Tunisia",616,1.544,93.154,2.226,0.768,0.88,0.879,6,3892.13283360036,11300284,2.17446901947763,54.06519598671,44.8896426169321,6.57711580316094,988729920,549661568,12,6,"NAVCO2.1 ID 312",312,1,0,0,0,"1",1,3,16.2403384161101,8.26671257263108,21.1540032198522,2,1,"0","0"
520,"2013 Turkey Anti-Erdogan protest banner",2013,"Anti-Erdogan","Turkey",2013,2015,"Erdogan government",0,1,0,0,0,1,0,1,0,0,"Turkey Anti-Erdogan","Turkey Anti-Erdogan",881,1629,158,0.0969920196439533,"2013 Turkey Anti-Erdogan protest",0,640,"TUR","0",0,313,"exact","Anti-Erdogan","Turkey",0,2,3,1,1,2013,1,0,0,"","Türkiye",640,1.595,96.444,-0.46,0.541,0.73,0.525,9,10138.8287513476,76576117,1.41608273530683,28.7342892947321,23.7930095050818,7.09829585797064,912452736,7432960000,11,0,"NAVCO2.1 ID 313",313,0,0,0,0,"0",1,2,18.1537957975829,9.22412776271699,22.8449778520343,3,1,"0","0"
314,"2013 Ukraine Euromaidan protest banner",2013,"Euromaidan","Ukraine",2013,2014,"President Yanukovych",1,0,0,0,0,1,0,1,0,0,"Ukraine Euromaidan","Ukraine Euromaidan",574,967,53,0.0548086866597725,"2013 Ukraine Euromaidan protest",0,369,"UKR","0",0,314,"close","Euromaiden","Ukraine",0,3,4,1,1,2013,1,0,0,"","Ukraine",369,1.083,97.625,0.907,0.737,0.896,0.762,6,2466.48413085938,45489648,2.36694390135139,51.1042867829065,42.8973826672717,6.44617263400144,336810080,2022286336,10,0,"NAVCO2.1 ID 314",314,0,0,0,0,"0",1,3,17.6329953415519,7.81054898678299,21.5815445085164,2,1,"0","0"
316,"2011 Yemen Anti Ali Adduallah Saleh Campaign protest banner",2011,"Anti Ali Adduallah Saleh Campaign","Yemen",2011,2012,"Government (Saleh Regime)",1,0,0,0,0,1,0,1,0,0,"Yemen Anti Ali Adduallah Saleh Campaign","Yemen Anti Ali Adduallah Saleh Campaign",331,818,51,0.0623471882640587,"2011 Yemen Anti Ali Adduallah Saleh Campaign protest",0,679,"YEM","1",1,316,"close","Anti-Ali Abdullah Saleh","Yemen",0,3,5,1,0,2012,0,0,0,"","Yemen",679,0.132,65.538,-0.174,0.394,0.233,0.536,-2,2159.84545808928,25475610,-1.58233916831705,32.7190337847532,30.3404241701511,7.45171915265359,369311968,560325376,11,5,"NAVCO2.1 ID 316",316,0,0,0,0,"0",1,3,17.0532320818305,7.6777919509377,20.6503051164478,2,1,"0","0"
316,"2012 Yemen Anti Ali Adduallah Saleh Campaign protest banner",2012,"Anti Ali Adduallah Saleh Campaign","Yemen",2011,2012,"Government (Saleh Regime)",1,0,0,0,0,1,0,1,0,0,"Yemen Anti Ali Adduallah Saleh Campaign","Yemen Anti Ali Adduallah Saleh Campaign",198,461,37,0.0802603036876356,"2012 Yemen Anti Ali Adduallah Saleh Campaign protest",0,679,"YEM","1",1,316,"close","Anti-Ali Abdullah Saleh","Yemen",4,3,-99,1,0,2012,0,0,0,"","Yemen",679,-0.466,65.077,0.211,0.484,0.245,0.63,3,2148.46678905805,26223391,-0.0402221923159827,36.497920216673,24.8637169658953,7.35386286822423,549008704,403543296,15,5,"NAVCO2.1 ID 316",316,1,1,1,0,"4",1,3,17.0821623566943,7.67250974536137,20.6746552577006,2,2,"0","0"
317,"2010 Algeria Anti-Abdelaziz Bouteflika Campaign protest banner",2010,"Anti-Abdelaziz Bouteflika Campaign","Algeria",2010,2012,"Abdelaziz Bouteflika's Government",0,1,0,0,0,1,0,1,0,0,"Algeria Anti-Abdelaziz Bouteflika Campaign","Algeria Anti-Abdelaziz Bouteflika Campaign",121,300,22,0.0733333333333333,"2010 Algeria Anti-Abdelaziz Bouteflika Campaign protest",0,615,"DZA","0",1,317,"exact","Anti-Abdelaziz Bouteflika Campaign","Algeria",0,3,0,1,0,2012,0,2,0,"","Algeria",615,1.539,88.286,-0.205,0.594,0.677,0.53,2,3931.72134771045,35856344,1.42696363601643,31.4221139127473,38.4445473501205,5.56606322964237,217272608,99426608,5,6,"NAVCO2.1 ID 317",317,0,0,0,0,"0",1,3,17.3950310689081,8.27683261093039,19.5734630391345,3,1,"2","0"
